etudiant_id,nom,prenom,date_naissance,universite_id,programme_etude,date_inscription,date_diplome,fonctionnaire_id,email
0,Sanders,Donna,2003-01-31,88,Électronique,2022-02-25,,,morgan20@example.com
1,Larson,Nicole,1994-09-13,12,Architecture,2016-04-19,,1550,vpierce@example.net
2,Weaver,Lisa,1996-01-21,64,Ingénierie Environnementale,2022-08-19,2023-02-13,2198,kjohnson@example.org
3,Smith,Tammy,2001-09-14,13,Génie Industriel,2020-03-18,,1369,ronald52@example.net
4,Phillips,Megan,2004-06-11,14,Ingénierie des Systèmes,2017-04-07,,2413,michael16@example.org
5,Mejia,Alison,2001-01-21,24,,2016-12-12,2023-12-12,,jessica77@example.net
6,Combs,Matthew,1996-09-03,45,Génie Industriel,2015-12-24,,2674,thomasstephen@example.org
7,Sanders,Brandon,2005-08-03,38,Mécanique,2016-12-13,2025-01-01,1006,maxwelleric@example.com
8,Perkins,Philip,2003-04-28,2,Ingénierie des Systèmes,2018-04-14,,,tmendoza@example.com
9,Brown,Joseph,1995-05-14,44,Mathématiques Appliquées,2015-07-24,2020-05-31,,dennis49@example.net
10,Underwood,Lori,2005-08-06,66,Ingénierie des Systèmes,2018-10-22,,,henry89@example.com
11,Cabrera,Karen,1994-10-21,41,Génie Industriel,2015-05-20,2024-07-23,,joannewton@example.org
12,Williams,William,2006-06-05,99,Génie Industriel,2024-11-21,2021-03-15,4536,mikaylasmith@example.org
13,Acevedo,Tamara,1995-07-09,64,Mécanique,2020-11-10,2024-10-07,4806,hansenadam@example.com
14,Dillon,Laurie,2005-09-19,32,Mécanique,2017-05-31,,,andrewhopkins@example.org
15,Hernandez,Preston,1995-09-12,92,Électronique,2018-02-05,2022-07-22,2645,martinezmatthew@example.net
16,Patterson,Jared,2004-12-17,20,Génie Industriel,2018-11-10,,,kgoodwin@example.org
17,Harmon,Shane,2000-07-17,58,Génie Civil,2019-11-07,2020-06-29,,samantha42@example.net
18,Miller,Patrick,1998-10-23,99,,2023-08-18,2024-01-20,,randypugh@example.org
19,Myers,Luis,1999-09-20,41,Informatique,2019-04-11,,4796,ericmurray@example.com
20,Griffin,Rose,2000-08-16,57,Informatique,2017-03-05,,1679,carriepowell@example.org
21,Wood,Scott,2006-05-12,46,Mathématiques Appliquées,2022-05-28,,,michelebarber@example.org
22,Whitehead,Sharon,1998-01-24,70,Ingénierie des Systèmes,2015-08-15,,,xhernandez@example.net
23,Orozco,Mark,2003-04-27,73,Ingénierie des Systèmes,2015-10-19,,4525,christopherjones@example.net
24,Sullivan,John,1994-08-15,29,Génie Civil,2015-07-18,,3714,smithcurtis@example.net
25,Rhodes,Tina,2002-08-05,44,Télécommunications,2017-08-26,2020-09-08,,xgonzalez@example.net
26,Hunt,Jennifer,1996-07-02,71,Génie Civil,2023-04-26,,271,qdelgado@example.net
27,Rojas,Lindsey,1994-04-02,51,Télécommunications,2017-08-01,2022-10-09,,jodi39@example.net
28,Rivas,Gloria,2001-05-19,90,Mécanique,2021-03-01,2023-06-19,,debra02@example.com
29,Gonzalez,Paul,1998-07-04,85,Ingénierie des Systèmes,2019-12-22,2022-07-06,2732,eugene19@example.com
30,Coleman,Julie,2006-06-23,67,Mécanique,2023-12-20,2023-10-11,,nelsonamber@example.com
31,Harris,Brittany,2004-01-01,100,Architecture,2015-09-30,,856,jasonwebster@example.com
32,Rodriguez,Thomas,2003-03-17,89,Architecture,2017-12-23,,,marktyler@example.org
