fonctionnaire_id,nom,prenom,type_fonctionnaire,email,etudiant_id,date_embauche
0,Wolf,Teresa,Technicien,garciarichard@example.net,,2004-10-18
1,English,Mitchell,Professeur,kbean@example.com,,1997-10-23
2,Perry,Kevin,Professeur,gibsonjessica@example.com,,2005-12-07
3,Morales,Christina,Technicien,danielkelly@example.org,2706,2022-11-19
4,Gonzalez,Laura,Professeur,diane29@example.net,2689,2003-07-24
5,Bell,Alexis,Administratif,rgarcia@example.net,,1996-03-17
6,Powell,Tyler,Technicien,charles13@example.net,950,2011-11-15
7,Romero,John,Administratif,timothyhunt@example.com,,2004-10-19
8,Conley,Ebony,Professeur,ortegarobin@example.net,3862,2023-09-07
9,Burch,Jackie,Professeur,xjohnson@example.org,1390,2008-11-17
10,Grant,Matthew,Administratif,michaelbaker@example.org,,2016-06-29
11,Blake,Derrick,Administratif,ntaylor@example.com,,2007-11-20
12,Potts,Christine,Professeur,bowmanmarilyn@example.net,4610,2002-02-15
13,Campbell,Melissa,Administratif,rhonda49@example.net,,2003-08-01
14,Torres,Lisa,Administratif,margaret57@example.org,3431,2004-03-17
15,Cortez,Joseph,Technicien,desireeevans@example.com,2285,1998-02-12
16,Juarez,Angela,Professeur,vjones@example.org,,2008-04-28
17,Robles,April,Administratif,daisywolfe@example.com,,1998-08-09
18,Cole,Angela,Technicien,salazarjulie@example.org,,2003-05-04
19,Knapp,Elizabeth,Professeur,ericthornton@example.org,260,2010-12-13
20,Rodriguez,Olivia,Professeur,bmiller@example.net,,2001-08-31
21,Adams,Tracey,Professeur,craigbenton@example.org,3376,2019-08-28
22,Dominguez,Kathy,Technicien,mccarthymichelle@example.org,2648,2006-10-13
23,Torres,Lori,Administratif,william39@example.org,,2016-06-18
24,Jackson,Lindsay,Administratif,cfoster@example.com,,2000-02-12
25,Williams,David,Professeur,karencox@example.com,1516,2019-02-23
26,Newman,Natalie,Professeur,chapmanmargaret@example.com,,2021-04-06
27,Gilmore,Thomas,Technicien,hinesjennifer@example.org,,2002-04-27
28,Gonzalez,Cory,Professeur,william27@example.net,,1997-12-07
29,Crawford,Madison,Professeur,nmcgee@example.org,1344,2015-11-21
30,Castro,Brandon,Technicien,mark45@example.net,,2005-01-16
31,Landry,Ashley,Technicien,masonandrew@example.net,4839,2020-05-15
32,Hayden,James,Administratif,johnpeck@example.org,,2021-08-08
33,Clark,Jeremy,Professeur,margaret16@example.org,1950,1998-03-22
34,Banks,Linda,Professeur,ewalsh@example.org,4977,2001-04-07
